v3,1 ile 10. satır aralığı yönetici bazlı v3 performans tablosudur (Varış merkezinde 12:00 den önce karşılanan seferleri hesaplar),,,,,,,Only City,,,,,,,,Saatlik 1. slot yetişme oranları,,,,,,,,,,Saatlik 2. slot yetişme oranları,,,,,,,,,,Saatlik hesaplanan adetler,,,,,,"69,39%","97,53%",,,01:00 den 16:00 ya kadar yüklenen adetler,,,,,,,,,Günlük yetişme oranları,,,,,,
2,"26,03%","35,66%",52.913,72.496,203.288,440.217,,2,"19,68%","30,97%",40.016,62.965,139.101,440.212,,2,"57,03%","58,13%","64,70%","28,66%","25,56%","24,89%","16,31%","38,06%",,2,"16,08%","15,03%","16,36%","40,39%","40,13%","23,45%","43,74%","34,80%",,2,"2,19%","4,73%","10,13%","18,47%","15,71%","19,11%","26,33%","3,34%",,2,"21,93%",440.217,,,96.549,"5,7%","7,6%",,2,"26,03%","35,66%",52.913,72.496,203.288,440.217
Ankara Kazan SC,"7,94%","23,16%",3.372,9.832,42.451,151.629,,Ankara Kazan SC,"7,64%","22,33%",3.242,9.478,26.760,151.629,,Ankara Kazan SC,"57,03%","43,21%","0,00%","0,00%","12,91%","0,00%","38,80%","57,60%",,Ankara Kazan SC,"16,08%","18,14%","33,61%","32,91%","35,26%","21,80%","1,77%","1,12%",,Ankara Kazan SC,9.631,15.139,6.780,27.155,22.097,37.601,28.665,4.561,,Ankara Kazan SC,,151.629,,,40.893,4.054,8.769,,Pazartesi,"27,40%","31,08%",9.075,10.296,33.123,62.751
Esenyurt SC ,"32,20%","40,69%",18.590,23.494,57.739,103.091,,Esenyurt SC ,"29,88%","40,69%",17.251,23.494,49.399,103.086,,Esenyurt SC ,"0,00%","77,14%","71,85%","0,00%","23,80%","10,60%","1,54%","65,59%",,Esenyurt SC ,"0,00%","11,07%","14,85%","0,00%","48,45%","56,02%","58,77%","19,90%",,Esenyurt SC ,0,5.700,34.186,0,36.494,3.752,20.594,2.365,,Esenyurt SC ,,103.091,,,18.047,0,0,,Salı,"21,40%","41,86%",8.892,17.393,41.552,90.086
Gebze SC,"16,84%","50,19%",9.691,28.877,57.536,97.696,,Gebze SC,"12,03%","35,87%",6.922,20.640,34.580,97.696,,Gebze SC,"0,00%","0,00%","0,00%","28,81%","0,00%","25,50%","0,03%","0,00%",,Gebze SC,"0,00%","0,00%","0,00%","50,39%","0,00%","21,04%","70,25%","64,16%",,Gebze SC,0,0,0,46.086,0,22.232,21.608,7.770,,Gebze SC,,97.696,,,21.292,1.354,5.111,,Çarşamba,"23,39%","31,11%",8.615,11.461,36.836,85.798
Bursa MH,"75,07%","6,80%",19.300,1.749,25.710,36.144,,Bursa MH,"46,55%","3,15%",11.967,809,12.806,36.144,,Bursa MH,"0,00%","0,00%","86,44%","86,16%","82,23%","86,29%","54,57%","0,00%",,Bursa MH,"0,00%","0,00%","7,78%","4,24%","0,99%","2,15%","13,67%","0,00%",,Bursa MH,0,0,3.619,8.052,3.533,9.875,11.065,0,,Bursa MH,,36.144,,,12.160,6.215,0,,Perşembe,"17,37%","44,37%",6.205,15.851,35.727,75.141
Antalya MH,"0,59%","47,54%",106,8.544,17.971,47.850,,Antalya MH,"0,59%","47,54%",106,8.544,15.028,47.850,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,92%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","41,67%","51,13%","47,30%","0,00%",,Antalya MH,0,0,0,0,7.024,10.666,30.160,0,,Antalya MH,,47.850,,,0,0,0,,Cuma,"24,61%","41,18%",7.399,12.382,30.067,70.465
Denizli MH,"98,56%","0,00%",1.854,0,1.881,3.807,,Denizli MH,"28,07%","0,00%",528,0,528,3.807,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","98,56%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,3.807,0,,Denizli MH,,3.807,,,4.157,0,1.560,,Cumartesi,"48,98%","19,68%",12.727,5.113,25.983,55.976
İkitelli-Defne Transfer Merkezi,"0,00%","0,00%",0,0,0,0,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%",0,0,0,0,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,0,0,0,0,0,0,,İkitelli-Defne Transfer Merkezi,,0,,,0,0,0,,,,,,,,
12 Ocak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,38%","97,03%",,,,,,,,,,,,,,,,,,
Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam ,17,18,19,20,21,22,23,0,,Buse Nizam,%,Total Gönderi,,Gece inbound,V1 (01:00-16:00),1,2,,Buse Nizam ,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
3,"26,22%","31,38%",83.839,100.339,319.742,511.366,,3,"23,95%","29,31%",76.572,93.725,218.518,511.362,,3,"55,82%","74,25%","57,01%","35,16%","29,99%","35,11%","13,49%","20,08%",,3,"9,66%","9,05%","31,04%","32,24%","40,92%","31,69%","42,41%","32,02%",,3,"0,94%","8,33%","6,65%","19,32%","14,50%","18,64%","28,64%","2,97%",,3,"7,43%",511.366,,,38.004,"6,9%","1,0%",,3,"19,79%","28,86%",62.230,90.742,314.414,511.366
Ankara Kazan SC,"13,76%","29,59%",9.380,20.178,68.190,182.351,,Ankara Kazan SC,"6,24%","28,61%",4.257,19.512,40.979,182.351,,Ankara Kazan SC,"55,82%","48,12%","0,00%","0,06%","0,02%","0,35%","29,01%","0,00%",,Ankara Kazan SC,"9,66%","15,75%","57,88%","39,00%","40,51%","39,63%","12,78%","2,88%",,Ankara Kazan SC,4.823,22.246,7.778,45.541,29.855,29.420,32.931,9.757,,Ankara Kazan SC,,182.351,,,16.630,11.530,0,,Pazartesi,"24,35%","41,47%",19.324,32.910,79.362,116.881
Esenyurt SC ,"38,66%","32,16%",33.589,27.940,86.882,110.344,,Esenyurt SC ,"35,54%","32,16%",30.874,27.940,73.820,110.341,,Esenyurt SC ,"0,00%","88,33%","91,42%","77,78%","44,61%","1,30%","7,89%","0,00%",,Esenyurt SC ,"0,00%","5,44%","1,24%","3,34%","32,18%","67,86%","43,49%","72,38%",,Esenyurt SC ,0,20.371,8.991,6.667,24.709,9.211,38.680,1.715,,Esenyurt SC ,,110.344,,,6.219,3.419,424,,Salı,"20,00%","39,64%",11.306,22.414,56.537,95.782
Gebze SC,"22,39%","55,30%",18.875,46.627,84.319,109.434,,Gebze SC,"15,73%","37,77%",13.262,31.850,51.284,109.434,,Gebze SC,"0,00%","0,00%","9,45%","54,87%","1,30%","13,08%","0,45%","0,00%",,Gebze SC,"0,00%","0,00%","76,08%","29,87%","77,13%","61,31%","68,19%","0,00%",,Gebze SC,0,0,7.906,42.040,13.750,13.420,32.318,0,,Gebze SC,,109.434,,,9.633,7.023,0,,Çarşamba,"34,76%","31,69%",19.872,18.117,57.161,89.135
Bursa MH,"56,06%","14,26%",21.995,5.594,39.232,41.710,,Bursa MH,"43,77%","7,77%",17.173,3.048,20.361,41.710,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","81,89%","66,80%","46,22%","37,50%",,Bursa MH,"0,00%","0,00%","0,00%","51,72%","0,38%","6,86%","19,33%","25,11%",,Bursa MH,0,0,0,4.567,5.823,21.680,5.904,3.736,,Bursa MH,,41.710,,,5.522,0,2.800,,Perşembe,"26,36%","38,88%",11.728,17.301,44.494,74.487
Antalya MH,"4,48%","42,90%",1.188,11.375,26.518,46.829,,Antalya MH,"4,48%","42,90%",1.188,11.375,22.249,46.829,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","18,05%","0,00%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","32,54%","46,31%","0,00%",,Antalya MH,0,0,0,0,0,14.519,32.310,0,,Antalya MH,,46.829,,,0,0,0,,Cuma,"31,41%","36,01%",14.134,16.202,44.996,72.964
Denizli MH,"99,97%","0,00%",6.837,0,6.839,7.347,,Denizli MH,"30,17%","0,00%",2.063,0,2.063,7.347,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","100,00%","99,95%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,3.015,4.332,0,,Denizli MH,,7.347,,,0,0,0,,Cumartesi,"57,75%","14,57%",18.403,4.641,31.864,62.117
İkitelli-Defne Transfer Merkezi,"99,91%","0,00%",7.755,0,7.762,13.351,,İkitelli-Defne Transfer Merkezi,"99,91%","0,00%",7.755,0,7.762,13.350,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","99,89%","0,00%","0,00%","99,96%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,9.321,0,0,4.030,0,0,,İkitelli-Defne Transfer Merkezi,,13.351,,,0,0,0,,,,,,,,
19 Ocak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,12%","97,39%",,,,,,,,,,,,,,,,,,
Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,%,Total Gönderi,,Gece inbound,V1 (01:00-16:00),1,2,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
4,"32,06%","35,70%",93.385,103.986,291.287,493.433,,4,"24,47%","30,46%",71.289,88.726,203.501,493.430,,4,"53,52%","66,60%","73,05%","39,18%","33,01%","25,47%","15,24%","0,28%",,4,"15,96%","66,60%","73,05%","39,18%","33,01%","25,47%","15,24%","0,28%",,4,"2,41%","7,01%","7,33%","16,88%","12,59%","25,91%","25,27%","2,61%",,4,"7,38%",493.433,,,36.433,"7,8%","0,1%",,4,"30,59%","35,69%",89.092,103.961,291.287,493.433
Ankara Kazan SC,"17,74%","32,41%",11.278,20.609,63.583,186.954,,Ankara Kazan SC,"10,84%","31,36%",6.894,19.941,43.780,186.954,,Ankara Kazan SC,"53,52%","38,12%","1,72%","7,46%","0,45%","0,00%","39,66%","0,00%",,Ankara Kazan SC,"15,96%","24,78%","50,37%","34,87%","46,54%","32,95%","18,19%","18,14%",,Ankara Kazan SC,11.893,20.136,7.624,45.579,27.114,39.373,26.936,8.299,,Ankara Kazan SC,,186.954,,,13.197,12.441,358,,Pazartesi,"25,01%","41,61%",16.014,26.647,64.040,99.301
Esenyurt SC ,"35,94%","37,99%",28.028,29.626,77.984,100.509,,Esenyurt SC ,"32,46%","37,99%",25.312,29.626,65.535,100.506,,Esenyurt SC ,"0,00%","89,59%","89,27%","0,00%","24,91%","2,13%","2,86%","0,00%",,Esenyurt SC ,"0,00%","4,21%","2,87%","0,00%","48,81%","56,88%","57,91%","64,89%",,Esenyurt SC ,0,14.433,21.113,0,24.223,26.042,13.253,1.445,,Esenyurt SC ,,100.509,,,10.128,2.982,0,,Salı,"27,82%","35,13%",17.634,22.267,63.387,108.525
Gebze SC,"24,84%","51,63%",19.341,40.200,77.855,103.300,,Gebze SC,"17,35%","35,70%",13.504,27.797,46.850,103.300,,Gebze SC,"0,00%","0,00%","57,03%","51,38%","0,00%","17,30%","2,05%","0,00%",,Gebze SC,"0,00%","0,00%","26,99%","33,09%","0,00%","60,21%","64,79%","69,99%",,Gebze SC,0,0,7.416,33.189,0,29.416,30.376,2.903,,Gebze SC,,103.300,,,6.010,2.766,0,,Çarşamba,"27,50%","39,35%",13.298,19.028,48.351,82.041
Bursa MH,"65,86%","9,27%",23.843,3.356,36.201,38.369,,Bursa MH,"47,08%","3,22%",17.043,1.167,18.316,38.369,,Bursa MH,"0,00%","0,00%","0,00%","81,01%","87,67%","67,27%","42,96%","19,30%",,Bursa MH,"0,00%","0,00%","0,00%","3,82%","0,80%","7,91%","20,42%","0,00%",,Bursa MH,0,0,0,4.535,4.398,20.981,8.239,216,,Bursa MH,,38.369,,,7.098,4.451,0,,Perşembe,"29,90%","34,37%",13.751,15.808,45.997,79.440
Antalya MH,"0,00%","41,25%",0,10.194,24.714,47.839,,Antalya MH,"0,00%","41,25%",0,10.194,20.430,47.839,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","48,57%","40,40%","0,00%",,Antalya MH,0,0,0,0,0,5.721,42.118,0,,Antalya MH,,47.839,,,0,0,0,,Cuma,"29,57%","35,39%",11.892,14.233,40.219,67.168
Denizli MH,"99,94%","0,00%",3.594,0,3.596,3.760,,Denizli MH,"34,34%","0,00%",1.235,0,1.236,3.760,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","99,94%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,3.760,0,,Denizli MH,,3.760,,,0,0,0,,Cumartesi,"56,34%","20,41%",16.503,5.978,29.293,56.958
İkitelli-Defne Transfer Merkezi,"99,28%","0,01%",7.301,1,7.354,12.702,,İkitelli-Defne Transfer Merkezi,"99,28%","0,01%",7.301,1,7.354,12.702,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","99,46%","99,10%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,03%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,0,0,6.398,6.304,0,0,,İkitelli-Defne Transfer Merkezi,,12.702,,,0,0,0,,,,,,,,
26 Ocak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,93%","92,21%",,,,,,,,,,,,,,,,,,
Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,%,Total Gönderi,,Gece inbound,V1 (01:00-16:00),1,2,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
5,"33,37%","31,61%",91.716,86.868,274.844,468.318,,5,"27,07%","28,83%",74.387,79.234,189.484,468.315,,5,"61,54%","62,17%","64,76%","51,55%","41,92%","17,84%","7,71%","30,76%",,5,"12,34%","10,91%","20,01%","24,43%","29,27%","48,43%","48,94%","17,57%",,5,"0,72%","7,15%","12,10%","11,75%","12,61%","20,60%","27,28%","4,47%",,5,"9,25%",468.318,,,43.323,"5,8%","1,2%",,5,"33,37%","34,44%",91.716,94.653,274.844,468.318
Ankara Kazan SC,"7,25%","37,10%",4.625,23.682,63.825,188.453,,Ankara Kazan SC,"7,18%","36,72%",4.585,23.437,41.390,188.453,,Ankara Kazan SC,"61,54%","39,93%","0,00%","2,64%","0,00%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"12,34%","17,40%","43,13%","40,21%","50,87%","40,52%","35,77%","7,55%",,Ankara Kazan SC,3.354,24.599,14.238,24.790,32.803,42.355,42.192,4.122,,Ankara Kazan SC,,188.453,,,16.199,7.996,969,,Pazartesi,"25,03%","40,17%",15.419,24.749,61.606,96.187
Esenyurt SC ,"37,98%","31,04%",27.837,22.750,73.299,91.993,,Esenyurt SC ,"34,46%","31,04%",25.258,22.750,62.042,91.994,,Esenyurt SC ,"0,00%","0,00%","88,87%","0,00%","36,71%","0,00%","0,25%","0,00%",,Esenyurt SC ,"0,00%","0,00%","2,81%","0,00%","38,08%","68,81%","51,45%","9,13%",,Esenyurt SC ,0,0,36.902,0,12.747,4.364,34.984,2.996,,Esenyurt SC ,,91.993,,,10.538,1.771,0,,Salı,"30,60%","35,48%",17.436,20.212,56.972,98.943
Gebze SC,"30,89%","51,82%",22.411,37.590,72.541,96.054,,Gebze SC,"22,91%","34,00%",16.619,24.664,44.132,96.053,,Gebze SC,"0,00%","0,00%","43,72%","64,13%","0,00%","18,24%","6,13%","0,00%",,Gebze SC,"0,00%","0,00%","42,26%","23,89%","0,00%","63,58%","71,94%","57,11%",,Gebze SC,0,0,21.052,23.670,0,28.270,21.014,2.048,,Gebze SC,,96.054,,,13.301,6.099,2.213,,Çarşamba,"34,28%","35,64%",15.453,16.067,45.081,75.745
Bursa MH,"67,38%","7,43%",25.804,2.846,38.295,40.514,,Bursa MH,"49,39%","1,56%",18.915,598,19.660,40.514,,Bursa MH,"0,00%","0,00%","0,00%","92,30%","85,38%","52,69%","48,41%","45,27%",,Bursa MH,"0,00%","0,00%","0,00%","1,85%","1,85%","9,73%","9,28%","15,26%",,Bursa MH,0,0,0,6.558,13.528,5.178,3.471,11.779,,Bursa MH,,40.514,,,3.285,0,0,,Perşembe,"35,00%","30,67%",14.284,12.519,40.815,69.183
Antalya MH,"1,66%","48,41%",267,7.785,16.082,35.463,,Antalya MH,"1,66%","48,41%",267,7.785,13.487,35.463,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","4,14%","1,94%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","47,09%","48,33%","0,00%",,Antalya MH,0,0,0,0,0,12.546,22.917,0,,Antalya MH,,35.463,,,0,0,0,,Cuma,"26,63%","40,72%",10.532,16.104,39.547,69.422
Denizli MH,"100,00%","0,00%",3.039,0,3.039,3.197,,Denizli MH,"33,23%","0,00%",1.010,0,1.010,3.197,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","100,00%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,3.197,0,,Denizli MH,,3.197,,,0,0,0,,Cumartesi,"60,32%","16,23%",18.592,5.002,30.823,58.838
İkitelli-Defne Transfer Merkezi,"99,61%","0,00%",7.733,0,7.763,12.644,,İkitelli-Defne Transfer Merkezi,"99,61%","0,00%",7.733,0,7.763,12.641,,İkitelli-Defne Transfer Merkezi,"0,00%","99,54%","0,00%","0,00%","0,00%","99,79%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,8.886,0,0,0,3.758,0,0,,İkitelli-Defne Transfer Merkezi,,12.644,,,0,0,0,,,,,,,,
2 Şubat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,50%","99,29%",,,,,,,,,,,,,,,,,,
Buse Nizam ,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam ,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam ,17,18,19,20,21,22,23,0,,Buse Nizam ,17,18,19,20,21,22,23,0,,Buse Nizam ,17,18,19,20,21,22,23,0,,Buse Nizam ,%,Total Gönderi,,Gece inbound,V1 (01:00-16:00),1,2,,Buse Nizam ,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
6,"30,57%","37,96%",99.254,123.243,324.649,537.451,,6,"23,89%","31,68%",77.551,102.850,223.149,537.443,,6,"75,97%","69,65%","78,74%","12,15%","41,19%","21,45%","9,11%","42,25%",,6,"12,87%","11,25%","9,94%","58,02%","28,11%","44,88%","48,27%","16,01%",,6,"1,12%","6,36%","11,47%","13,52%","14,74%","25,30%","26,79%","0,71%",,6,"1,15%",537.451,,,6.187,"0,0%","0,8%",,6,"30,57%","37,96%",99.254,123.243,324.649,537.451
Ankara Kazan SC,"13,33%","35,46%",9.363,24.903,70.230,205.143,,Ankara Kazan SC,"12,30%","34,07%",8.636,23.925,45.925,205.142,,Ankara Kazan SC,"79,42%","61,66%","21,72%","3,45%","0,35%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"10,29%","13,72%","31,84%","43,95%","44,59%","47,20%","26,30%","0,00%",,Ankara Kazan SC,5.086,26.723,6.421,40.606,37.421,44.634,44.252,0,,Ankara Kazan SC,,205.143,,,1.104,0,283,,Pazartesi,"22,69%","46,56%",19.559,40.130,86.198,132.936
Esenyurt SC ,"33,75%","36,35%",28.089,30.252,83.230,103.331,,Esenyurt SC ,"30,68%","36,35%",25.532,30.252,70.080,103.330,,Esenyurt SC ,"0,00%","86,59%","85,67%","0,00%","19,86%","10,07%","0,46%","0,00%",,Esenyurt SC ,"0,00%","6,02%","4,16%","0,00%","45,26%","55,52%","55,17%","0,00%",,Esenyurt SC ,0,7.436,31.006,0,16.830,10.551,37.508,0,,Esenyurt SC ,,103.331,,,2.829,0,2.344,,Salı,"30,17%","34,71%",15.511,17.845,51.407,86.487
Gebze SC,"15,90%","62,73%",14.179,55.942,89.186,115.462,,Gebze SC,"11,22%","42,00%",10.007,37.458,53.902,115.461,,Gebze SC,"68,97%","0,00%","68,34%","17,59%","19,81%","3,19%","0,00%","0,00%",,Gebze SC,"18,10%","0,00%","21,09%","66,81%","57,03%","70,57%","72,86%","28,92%",,Gebze SC,912,0,14.944,32.083,4.026,35.800,27.486,211,,Gebze SC,,115.462,,,1.799,0,0,,Çarşamba,"33,15%","35,40%",16.442,17.556,49.598,83.267
Bursa MH,"75,10%","3,11%",32.734,1.357,43.589,45.986,,Bursa MH,"49,38%","0,98%",21.523,426,21.960,45.986,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","87,93%","75,32%","53,09%","44,28%",,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,01%","3,36%","5,36%","15,40%",,Bursa MH,0,0,0,0,20.927,14.454,7.021,3.584,,Bursa MH,,45.986,,,455,0,0,,Perşembe,"24,21%","40,58%",11.785,19.755,48.677,81.914
Antalya MH,"4,03%","44,02%",988,10.789,24.508,47.692,,Antalya MH,"4,03%","44,02%",988,10.789,20.413,47.692,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","8,85%","0,00%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","35,99%","50,75%","0,00%",,Antalya MH,0,0,0,0,0,24.734,22.958,0,,Antalya MH,,47.692,,,0,0,0,,Cuma,"28,97%","40,43%",14.891,20.780,51.395,84.294
Denizli MH,"99,98%","0,00%",4.525,0,4.526,4.753,,Denizli MH,"32,90%","0,00%",1.489,0,1.489,4.753,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","99,98%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,4.753,0,,Denizli MH,,4.753,,,0,0,0,,Cumartesi,"56,37%","19,20%",21.066,7.177,37.374,68.553
İkitelli-Defne Transfer Merkezi,"99,96%","0,00%",9.376,0,9.380,15.084,,İkitelli-Defne Transfer Merkezi,"99,96%","0,00%",9.376,0,9.380,15.079,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","99,95%","0,00%","0,00%","99,97%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,9.281,0,0,5.803,0,0,,İkitelli-Defne Transfer Merkezi,,15.084,,,0,0,0,,,,,,,,
9 Şubat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,88%","98,54%",,,,,,,,,,,,,,,,,,
Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,%,Total Gönderi,,Gece inbound,V1 (01:00-16:00),1,2,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
7,"27,46%","34,44%",86.135,108.032,313.673,554.482,,7,"21,39%","29,55%",67.101,92.703,215.276,554.472,,7,"64,99%","73,50%","60,08%","20,34%","9,66%","26,35%","27,77%","29,01%",,7,"12,56%","8,23%","21,98%","46,18%","45,38%","36,22%","27,40%","35,20%",,7,"2,02%","7,49%","12,10%","16,66%","16,32%","15,28%","28,67%","1,46%",,7,"2,14%",554.482,,,11.860,"0,6%","0,1%",,7,"27,46%","34,44%",86.135,108.032,313.673,554.482
Ankara Kazan SC,"12,66%","31,82%",9.052,22.749,71.504,215.994,,Ankara Kazan SC,"11,64%","31,28%",8.320,22.366,46.398,215.994,,Ankara Kazan SC,"70,95%","50,04%","1,39%","6,57%","2,55%","1,70%","13,17%","0,00%",,Ankara Kazan SC,"7,30%","16,20%","39,34%","39,77%","36,53%","43,63%","23,30%","0,00%",,Ankara Kazan SC,10.663,25.320,15.981,39.066,43.484,34.162,46.868,450,,Ankara Kazan SC,,215.994,,,0,0,0,,Pazartesi,"20,69%","41,64%",15.841,31.890,76.577,126.349
Esenyurt SC ,"30,19%","37,08%",26.527,32.576,87.856,113.807,,Esenyurt SC ,"27,23%","37,08%",23.920,32.576,73.946,113.798,,Esenyurt SC ,"0,00%","91,15%","80,58%","0,00%","10,62%","7,60%","0,00%","0,00%",,Esenyurt SC ,"0,00%","2,22%","7,21%","0,00%","58,58%","62,29%","43,73%","0,00%",,Esenyurt SC ,0,16.187,24.295,0,25.111,11.714,36.500,0,,Esenyurt SC ,,113.807,,,5.425,1.081,349,,Salı,"25,76%","31,58%",17.304,21.212,67.163,115.788
