v3,1 ile 10. satır aralığı yönetici bazlı v3 performans tablosudur (Varış merkezinde 12:00 den önce karşılanan seferleri hesaplar),,,,,,,Only City,,,,,,,,Saatlik 1. slot yetişme oranları,,,,,,,,,,Saatlik 2. slot yetişme oranları,,,,,,,,,,Saatlik hesaplanan adetler,,,,,,0.6905103146,0.9747892704,,,01:00 den 16:00 ya kadar yüklenen adetler,,,,,,,,,Günlük yetişme oranları,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,2026-01-01,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3170354604,0.3465839704,375655,410667,1184899,2138552,,,0.2422501833,0.2939161903,287042,348261,805010,2114064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,2026-02-02,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3253887037,0.3376290173,443251,459925,1362220,2267823,,,0.2461827018,0.2820418141,335355,384203,922686,2260283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-02,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,2026-03-02,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3038811355,0.3648969021,468623,562717,1542126,2467755,,,0.2341981135,0.2982972857,361163,460012,1024086,2441195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,2026-04-01,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3618524471,0.3421230785,534506,505363,1477138,2446518,,,0.2783111666,0.30152633,411104,445396,1035043,2535094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekly,Haftalık yönetici bazlı performansları,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7033394894,0.9666164642,,,,,,,,,,,,,,,,,,
Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,%,Total Gönderi,,Gece inbound,V1 (01:00-16:00),1,2,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
2,0.2602858998,0.356617213,52913,72496,203288,440217,,2,0.1968438865,0.3097329897,40016,62965,139101,440212,,2,0.5703017833,0.5812517944,0.6470479278,0.2866224848,0.2556436852,0.2489385527,0.1630612839,0.3806102852,,2,0.1608367627,0.1503014643,0.1635563788,0.4038744115,0.4012736425,0.2344748752,0.4373765673,0.3480332883,,2,0.02187784661,0.04733801739,0.1012795962,0.1846657444,0.1570770779,0.1911012069,0.2632769748,0.03338353585,,2,0.2193213801,440217,,,96549,0.0571750423,0.07595135965,,2,0.2602858998,0.356617213,52913,72496,203288,440217
