v3,1 ile 10. satır aralığı yönetici bazlı v3 performans tablosudur (Varış merkezinde 12:00 den önce karşılanan seferleri hesaplar),,,,,,,Only City,,,,,,,,Saatlik 1. slot yetişme oranları,,,,,,,,,,Saatlik 2. slot yetişme oranları,,,,,,,,,,Saatlik hesaplanan adetler,,,,,,0.6905103146,0.9747892704,,,01:00 den 16:00 ya kadar yüklenen adetler,,,,,,,,,Günlük yetişme oranları,,,,,,
v3,12 ile 41. satır aralığı v3 genel performans tablosudur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7090671026,0.9738557039,,,,,,,,,,,,,,,,,,
Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,%,Total Gönderi,,Gece inbound,V1,1,2,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
YTD,0.3370048723,0.3454944722,766097,785396,2273252,3826206,,YTD,0.3868184258,0.4335292539,593757,665457,1534976,3824836,,YTD,0.8420393959,0.6976481679,0.6668665084,0.3514126369,0.2900291905,0.3479537385,0.1211417156,0.2271473063,,YTD,0.06269393633,0.1184598973,0.172799742,0.3757336792,0.3915941857,0.3084879161,0.4829644221,0.3146787236,,YTD,0.02491932906,0.08321374144,0.1035775116,0.1273566746,0.1257689404,0.2442309054,0.2647886013,0.02614312294,,YTD,,3826206,,,454729,0.03180201755,0.01485932928,,YTD,0.3370048723,0.3454944722,766097,785396,2273252,3826206
Ankara Kazan SC,0.1181570767,0.3326175703,56787,159858,480606,1391376,,Ankara Kazan SC,0.2054317232,0.5023043871,63206,154546,307674,1390243,,Ankara Kazan SC,0.59325922,0.5578546072,0.02798019102,0.07092134249,0.0005842827929,0.02417238497,0,0,,Ankara Kazan SC,0.1326980766,0.1440391176,0.4159886806,0.3951665155,0.4566988022,0.3631667647,0.3185266419,0.1086103114,,Ankara Kazan SC,50325,190666,79839,206503,250040,302130,275619,36254,,Ankara Kazan SC,,1391376,,,191721,50959,17499,,Pazartesi,0.2764034244,0.3789375464,143965,197370,520851,818392
Esenyurt SC ,0.3144311227,0.3970811945,186646,235707,593599,775547,,Esenyurt SC ,0.3430812352,0.4723441879,171120,235593,498774,775435,,Esenyurt SC ,0.9584664537,0.7833608296,0.785363008,0.3047767394,0.2383387822,0.02939825448,0.007938610434,0,,Esenyurt SC ,0.009584664537,0.1095765575,0.1038959121,0.3651535381,0.4934882767,0.5542221712,0.5791432659,0.4450195537,,Esenyurt SC ,1071,89127,198712,16863,130162,61438,268313,9861,,Esenyurt SC ,,775547,,,97438,1771,1961,,Salı,0.2935638181,0.3730618291,131206,166737,446942,730318
Gebze SC,0.2578283124,0.512826777,151972,302276,589431,812498,,Gebze SC,0.3064646166,0.5739660928,107954,202183,352256,812438,,Gebze SC,0.5556300268,0.7486640234,0.6410279722,0.4300300865,0.1886136784,0.1485315304,0.0364145159,0,,Gebze SC,0.3528820375,0.1462678848,0.2390368821,0.4045568509,0.6545286506,0.5868161688,0.6621096535,0.5746111258,,Gebze SC,4090,15339,97013,242625,34177,176426,212156,30672,,Gebze SC,,812498,,,97735,9133,9565,,Çarşamba,0.3123836263,0.3444288466,117271,129301,375407,631795
Bursa MH,0.6751134455,0.07553350274,202185,22621,299483,325602,,Bursa MH,0.9395678843,0.05473865479,140767,8201,149821,325588,,Bursa MH,0,0,0.8644490644,0.8985252466,0.8307496114,0.6900709122,0.4978628592,0.4077440627,,Bursa MH,0,0,0.07775467775,0.02803008106,0.01103893516,0.06454344235,0.1411422335,0.211201711,,Bursa MH,0,0,3619,14610,27250,232031,24850,23242,,Bursa MH,,325602,,,45831,6215,3194,,Perşembe,0.3578397213,0.3410896421,112970,107682,315700,540648
Antalya MH,0.210253598,0.3633245294,37574,64929,178708,335317,,Antalya MH,0.2196576641,0.4380671583,32557,64929,148217,335317,,Antalya MH,0.9630581814,0,0,0,0.4759014204,0.06418918919,0.02362833018,0,,Antalya MH,0.01340821896,0,0,0,0.1544858565,0.4388683376,0.4619910203,0,,Antalya MH,26084,0,0,0,21869,123215,164149,0,,Antalya MH,,335317,,,4216,4216,0,,Cuma,0.3109472183,0.3854236805,108987,135091,350500,605388
Denizli MH,0.9945603836,0,77157,0,77579,94825,,Denizli MH,0.9995903318,0,24400,0,24410,94823,,Denizli MH,1,0,0,0.9992156863,0.9989340913,0.999696648,0.9888483146,0,,Denizli MH,0,0,0,0,0,0,0,0,,Denizli MH,13780,0,0,6692,17720,7195,49438,0,,Denizli MH,,94825,,,17788,0,1560,,Cumartesi,0.5749359489,0.1865250216,151698,49215,263852,499665
İkitelli-Defne Transfer Merkezi,0.9986999963,9.285740816e-05,53776,5,53846,91041,,İkitelli-Defne Transfer Merkezi,0.9986808859,9.289536266e-05,53753,5,53824,90992,,İkitelli-Defne Transfer Merkezi,0,0.9973513832,0.999078341,0,0,0.9990632319,0.9993791024,0,,İkitelli-Defne Transfer Merkezi,0,7.357268982e-05,0.000102406554,0,0,0.00010408535,8.869966294e-05,0,,İkitelli-Defne Transfer Merkezi,0,23261,17126,0,0,32043,18611,0,,İkitelli-Defne Transfer Merkezi,,91041,,,0,0,0,,,,,,,,
